"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.18656750672245e-92,-0.350104104650055,0.075,0.174,5.22852022207472e-88,"HSC/MPP","AC007100.1"
5.64493941763762e-92,-0.421817183877882,0.484,0.561,1.34981791354551e-87,"HSC/MPP","MEF2C"
7.66015748481986e-91,-0.386301323973658,0.359,0.464,1.83169685777013e-86,"HSC/MPP","NR3C1"
1.68467607065524e-88,-0.420374629383478,0.35,0.446,4.02839742015081e-84,"HSC/MPP","TLE4"
7.93144338768671e-84,-0.324698723399162,0.344,0.451,1.89656674286365e-79,"HSC/MPP","SH3KBP1"
9.53203329584867e-83,-0.478227690945022,0.993,0.992,2.27929980170333e-78,"HSC/MPP","MALAT1"
4.00685708042237e-82,-0.302379633367756,0.82,0.836,9.58119665070598e-78,"HSC/MPP","CFL1"
4.86126359013637e-82,-0.277850955367891,0.326,0.441,1.16242534967341e-77,"HSC/MPP","HSP90B1"
3.1394308764688e-81,-0.352515127013994,0.163,0.264,7.50700711181219e-77,"HSC/MPP","UHRF1"
1.34353219099117e-79,-0.25277868705645,0.341,0.449,3.21265417509808e-75,"HSC/MPP","SIVA1"
6.62096534602875e-78,-0.263574541056632,0.255,0.363,1.5832052335424e-73,"HSC/MPP","RB1"
4.94377400529955e-77,-0.33752899833829,0.157,0.256,1.18215524014723e-72,"HSC/MPP","RAB11FIP1"
1.19716205722204e-76,-0.276135105544238,0.204,0.311,2.86265391122933e-72,"HSC/MPP","UBE2E2"
1.63667354151356e-74,-0.27111222949811,0.308,0.41,3.91361377246723e-70,"HSC/MPP","ATP1B3"
5.59657360706008e-74,-0.264155471045364,0.214,0.315,1.33825268092021e-69,"HSC/MPP","CYFIP2"
2.57617544567122e-73,-0.289104274350443,0.207,0.307,6.16015072568903e-69,"HSC/MPP","SNX29"
5.74744597181969e-72,-0.377665090560758,0.967,0.934,1.37432928078153e-67,"HSC/MPP","FTH1"
1.47306822809866e-71,-0.689012103925332,0.406,0.459,3.52240074702952e-67,"HSC/MPP","S100A4"
2.79930505757066e-71,-0.462843360722701,0.933,0.902,6.69369825366297e-67,"HSC/MPP","ACTG1"
7.08708731329334e-71,-0.269269769256894,0.33,0.424,1.6946643183547e-66,"HSC/MPP","DBI"
1.27564531792501e-70,-0.273376376638108,0.535,0.6,3.05032308422227e-66,"HSC/MPP","SSR4"
2.42791888436856e-70,-0.367932377949539,0.338,0.421,5.80563963630209e-66,"HSC/MPP","TTC7A"
1.61864928345081e-69,-0.569948594734073,0.104,0.189,3.87051416658758e-65,"HSC/MPP","CTSG"
1.00118935308425e-65,-0.25552109300996,0.292,0.387,2.39404398109505e-61,"HSC/MPP","VDAC1"
3.81701737211029e-65,-0.348083474638583,0.087,0.167,9.12725194019013e-61,"HSC/MPP","PSD3"
3.12730742819913e-64,-0.556653734451487,0.258,0.34,7.47801752230976e-60,"HSC/MPP","CST3"
1.8133241582737e-63,-0.649224555495688,0.569,0.569,4.33602072726406e-59,"HSC/MPP","TCF4"
1.5095061941493e-62,-0.496267973606847,0.348,0.4,3.6095312114498e-58,"HSC/MPP","RCSD1"
7.93472454953545e-59,-0.294144302341977,0.557,0.602,1.89735133428492e-54,"HSC/MPP","SH3BGRL3"
2.70547484990621e-52,-0.257036665528133,0.812,0.833,6.46933146109572e-48,"HSC/MPP","HSP90AA1"
